feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
S_24_min,35.0,25.0,33.0,30.0,34.0,31.4
D_50_mean,36.0,28.0,34.0,30.0,29.0,31.4
B_16_mean,20.0,38.0,35.0,33.0,29.0,31.0
D_124_max,28.0,30.0,29.0,28.0,40.0,31.0
D_113_mean,29.0,36.0,35.0,27.0,28.0,31.0
B_20_last,32.0,27.0,28.0,30.0,37.0,30.8
D_80_std,37.0,23.0,28.0,27.0,38.0,30.6
D_42_mean,29.0,26.0,28.0,25.0,45.0,30.6
D_41_mean,33.0,26.0,35.0,31.0,27.0,30.4
B_37_max,40.0,29.0,22.0,35.0,26.0,30.4
D_102_min,31.0,41.0,25.0,24.0,30.0,30.2
D_133_min,41.0,29.0,29.0,23.0,27.0,29.8
S_24_mean,39.0,33.0,21.0,29.0,26.0,29.6
S_27_last,33.0,26.0,26.0,36.0,26.0,29.4
B_3_min,33.0,19.0,28.0,35.0,32.0,29.4
S_13_mean,30.0,28.0,28.0,27.0,32.0,29.0
B_1_max,38.0,29.0,29.0,30.0,18.0,28.8
R_10_mean,43.0,28.0,25.0,20.0,28.0,28.8
B_6_mean,30.0,29.0,26.0,32.0,25.0,28.4
B_13_min,37.0,26.0,21.0,38.0,20.0,28.4
R_12_last,35.0,29.0,24.0,26.0,26.0,28.0
D_59_last,30.0,28.0,21.0,26.0,34.0,27.8
D_118_min,36.0,25.0,29.0,21.0,26.0,27.4
D_124_std,34.0,21.0,31.0,13.0,37.0,27.2
B_17_mean,37.0,21.0,21.0,29.0,28.0,27.2
B_11_max,31.0,26.0,23.0,24.0,32.0,27.2
D_48_min,31.0,23.0,25.0,32.0,25.0,27.2
D_42_std,32.0,43.0,17.0,23.0,20.0,27.0
B_20_std,35.0,21.0,23.0,28.0,28.0,27.0
D_42_min,28.0,32.0,31.0,25.0,19.0,27.0
D_77_last,30.0,25.0,23.0,25.0,31.0,26.8
D_104_last,24.0,34.0,21.0,23.0,30.0,26.4
D_105_std,28.0,25.0,26.0,32.0,20.0,26.2
B_37_mean,30.0,33.0,21.0,17.0,30.0,26.2
R_16_std,32.0,24.0,23.0,23.0,28.0,26.0
D_120_last,24.0,23.0,29.0,25.0,27.0,25.6
D_91_std,29.0,24.0,26.0,29.0,19.0,25.4
D_134_max,31.0,21.0,27.0,32.0,16.0,25.4
B_8_min,35.0,25.0,15.0,28.0,24.0,25.4
P_4_std,28.0,30.0,19.0,21.0,29.0,25.4
B_1_mean,38.0,20.0,22.0,26.0,20.0,25.2
D_112_min,26.0,29.0,29.0,14.0,27.0,25.0
D_56_mean,26.0,17.0,27.0,23.0,30.0,24.6
S_9_min,21.0,24.0,18.0,25.0,34.0,24.4
D_51_mean,30.0,23.0,20.0,25.0,24.0,24.4
D_128_mean,18.0,27.0,20.0,18.0,39.0,24.4
R_11_std,23.0,27.0,19.0,29.0,23.0,24.2
D_83_mean,33.0,25.0,24.0,23.0,16.0,24.2
D_65_mean,27.0,19.0,25.0,26.0,23.0,24.0
D_80_mean,17.0,28.0,25.0,23.0,26.0,23.8
D_104_std,25.0,30.0,21.0,14.0,29.0,23.8
R_10_last,20.0,25.0,23.0,26.0,25.0,23.8
B_22_std,33.0,23.0,21.0,19.0,22.0,23.6
S_13_last,31.0,16.0,16.0,17.0,38.0,23.6
B_42_last,22.0,23.0,21.0,25.0,26.0,23.4
S_15_last,32.0,23.0,19.0,19.0,24.0,23.4
D_41_std,28.0,26.0,22.0,21.0,19.0,23.2
D_130_last,27.0,19.0,26.0,22.0,22.0,23.2
D_128_std,20.0,33.0,22.0,18.0,23.0,23.2
D_104_max,29.0,15.0,21.0,24.0,26.0,23.0
D_130_max,26.0,19.0,22.0,25.0,22.0,22.8
D_42_last,30.0,17.0,16.0,27.0,24.0,22.8
S_8_min,32.0,15.0,15.0,30.0,21.0,22.6
B_4_min,27.0,23.0,21.0,17.0,25.0,22.6
